,Nation,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,Rank
0,Uruguay,77.33333333,26.86666667,180.7333333,75.06666667,2.6,72.71428571,60.42857143,68.5,71.21428571,61.14285714,73.28571429,59.33333333,52.26666667,61.33333333,72.8,52.33333333,67.33333333,56.6,55.53333333,67.6,70.6,70.53333333,72.8,68.53333333,75.13333333,64.53333333,68.13333333,70.33333333,76.53333333,71.4,58.6,68.6,61,60.6,66.6,56.46666667,73.73333333,53.13333333,60.6,56.4,14.33333333,13.33333333,15.8,15.86666667,14.93333333,61,21
0,Russia,75.9,27,184.9,77.9,2.2,66.375,62.75,68.375,68.125,60.5,71.5,55.5,50.5,56.2,64.1,47.5,56.7,51,49.8,58.9,60.8,64,63.7,63.2,74.4,59.8,61,64.2,68.7,71.9,53.9,58.1,52.6,52.7,64.9,47.6,68.3,49.7,50.6,50.5,23.9,22.7,25.1,25.5,23.8,53,64
0,Saudi Arabia,71.88888889,26.22222222,175.8888889,69.88888889,2.777777778,77.5,59.875,61.25,67.5,57.5,70.875,54.11111111,51.66666667,55.88888889,61.11111111,52,60.22222222,54.77777778,48.11111111,55.33333333,61.55555556,74.11111111,72.88888889,73.77777778,67.66666667,66.33333333,63.33333333,67.88888889,71.66666667,69.88888889,55.33333333,61.88888889,51.22222222,54,58.55555556,52.88888889,60.77777778,51.88888889,53.66666667,52.33333333,18,19.11111111,16.88888889,17.55555556,17,40,63
0,Egypt,70.69230769,28.07692308,181.4615385,77.07692308,2.615384615,72.09090909,60.36363636,64.63636364,68.45454545,52.63636364,66.54545455,55.23076923,51.46153846,52.07692308,62.46153846,47.46153846,59.53846154,49.53846154,49.53846154,57.61538462,62.38461538,68.23076923,67.92307692,64.23076923,65.38461538,66.69230769,59.53846154,63.84615385,64.84615385,67.07692308,53.61538462,55.61538462,46.46153846,52.46153846,57.92307692,51.30769231,66.61538462,45.38461538,47.38461538,43.92307692,20.07692308,20.30769231,21.15384615,19.69230769,19.69230769,45.5,31
0,Spain,76.5,26,181.5,78.5,2,75,67,71,72,61,75,45,39.5,28,52.5,28,41,46,43,53.5,43.5,54,54,59.5,73.5,56,48.5,70.5,63.5,60,40.5,45,37,43.5,64,39.5,50.5,42.5,42.5,38.5,46.5,43.5,41.5,41.5,47.5,33,6
0,Portugal,82,24.5,177,76,2.5,77,75,81,84,74,63,52,45,38.5,57.5,44.5,49,49.5,48,52.5,52,71.5,68,76.5,83,74,50.5,74.5,55,59.5,50.5,52,55,42.5,58.5,30,65,43.5,42.5,45,49,43.5,39.5,45,46.5,62,3
0,IR Iran,71,24.22222222,183,77.22222222,2.666666667,79.125,66.25,63.25,71.5,48.25,67.625,57.33333333,58.44444444,58.77777778,61.88888889,56.88888889,64,56.11111111,48.66666667,53.55555556,65.44444444,73.11111111,72.33333333,68.77777778,69.77777778,67,65,66.66666667,64.77777778,66.66666667,60.77777778,60.88888889,46.11111111,60.44444444,62.33333333,53.22222222,65.77777778,39,43.66666667,43,15.88888889,16,16.77777778,15,16.88888889,22,32
0,Morocco,74.75,25.75,183.875,76.9375,2.75,71.86666667,63.46666667,67.13333333,72.73333333,55.26666667,69.66666667,61.9375,58.625,59.25,69.6875,57.25,69.5625,59.375,52.8125,65.9375,70.5625,69.75,69.5,69.8125,70.6875,63.5,67.8125,63.875,67.6875,71.1875,60.125,64.1875,54.25,60.25,63.75,57.375,68.8125,48.9375,53.9375,50.25,14.3125,14.8125,14.125,14.375,13.8125,35,40
0,France,82.08695652,24.56521739,182.5652174,76.56521739,2.652173913,75.2,65.4,70.6,75.4,64.55,76,59.7826087,56.08695652,62.47826087,72.91304348,52.95652174,66.17391304,59.39130435,51.47826087,66.91304348,71.60869565,72.52173913,72.52173913,69.73913043,78.7826087,65.82608696,68.17391304,76.65217391,71.69565217,73.91304348,58.95652174,68.39130435,61.2173913,59.2173913,63.43478261,54.17391304,74.26086957,55.08695652,58.13043478,55.95652174,19.56521739,18.86956522,18.52173913,18.91304348,20.43478261,55,9
0,Denmark,76.2173913,25.73913043,185.5652174,79.52173913,2.434782609,71.05,63.7,67.55,69.6,57.2,73.4,56.47826087,54.69565217,59.56521739,67.86956522,52.56521739,60.91304348,54.47826087,53.56521739,62.95652174,66.56521739,66.26086957,69.08695652,63.95652174,72.73913043,63.39130435,66.52173913,68.08695652,71.30434783,72.60869565,55.86956522,62.30434783,53.52173913,58.34782609,64.69565217,54.60869565,66.69565217,47.69565217,53.08695652,46.65217391,19.2173913,19.73913043,18.86956522,19.26086957,19.69565217,46.33333333,12
