year,Group,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Goal_dif,Result
2022,Final,Argentina,3,3,France,0,0
2022,Group A,Qatar,0,2,Ecuador,-2,0
2022,Group A,Senegal,0,2,Netherlands,-2,0
2022,Group A,Qatar,1,3,Senegal,-2,0
2022,Group A,Netherlands,1,1,Ecuador,0,0
2022,Group A,Netherlands,2,0,Qatar,2,1
2022,Group A,Ecuador,1,2,Senegal,-1,0
2022,Group B,England,6,2,IR Iran,4,1
2022,Group B,USA,1,1,Wales,0,0
2022,Group B,Wales,0,2,IR Iran,-2,0
2022,Group B,England,0,0,USA,0,0
2022,Group B,Wales,0,3,England,-3,0
2022,Group B,IR Iran,0,1,USA,-1,0
2022,Group C,Argentina,1,2,Saudi Arabia,-1,0
2022,Group C,Mexico,0,0,Poland,0,0
2022,Group C,Poland,2,0,Saudi Arabia,2,1
2022,Group C,Argentina,2,0,Mexico,2,1
2022,Group C,Poland,0,2,Argentina,-2,0
2022,Group C,Saudi Arabia,1,2,Mexico,-1,0
2022,Group D,Denmark,0,0,Tunisia,0,0
2022,Group D,France,4,1,Australia,3,1
2022,Group D,Tunisia,0,1,Australia,-1,0
2022,Group D,France,2,1,Denmark,1,1
2022,Group D,Australia,1,0,Denmark,1,1
2022,Group D,Tunisia,1,0,France,1,1
2022,Group E,Germany,1,2,Japan,-1,0
2022,Group E,Spain,7,0,Costa Rica,7,1
2022,Group E,Japan,0,1,Costa Rica,-1,0
2022,Group E,Spain,1,1,Germany,0,0
2022,Group E,Japan,2,1,Spain,1,1
2022,Group E,Costa Rica,2,4,Germany,-2,0
2022,Group F,Morocco,0,0,Croatia,0,0
2022,Group F,Belgium,1,0,Canada,1,1
2022,Group F,Belgium,0,2,Morocco,-2,0
2022,Group F,Croatia,4,1,Canada,3,1
2022,Group F,Croatia,0,0,Belgium,0,0
2022,Group F,Canada,1,2,Morocco,-1,0
2022,Group G,Switzerland,1,0,Cameroon,1,1
2022,Group G,Brazil,2,0,Serbia,2,1
2022,Group G,Cameroon,3,3,Serbia,0,0
2022,Group G,Brazil,1,0,Switzerland,1,1
2022,Group G,Serbia,2,3,Switzerland,-1,0
2022,Group G,Cameroon,1,0,Brazil,1,1
2022,Group H,Uruguay,0,0,Korea Republic,0,0
2022,Group H,Portugal,3,2,Ghana,1,1
2022,Group H,Korea Republic,2,3,Ghana,-1,0
2022,Group H,Portugal,2,0,Uruguay,2,1
2022,Group H,Ghana,0,2,Uruguay,-2,0
2022,Group H,Korea Republic,2,1,Portugal,1,1
2022,Play-off for third place,Croatia,2,1,Morocco,1,1
2022,Quarter-final,Croatia,1,1,Brazil,0,0
2022,Quarter-final,Netherlands,2,2,Argentina,0,0
2022,Quarter-final,Morocco,1,0,Portugal,1,1
2022,Quarter-final,England,1,2,France,-1,0
2022,Round of 16,Netherlands,3,1,USA,2,1
2022,Round of 16,Argentina,2,1,Australia,1,1
2022,Round of 16,France,3,1,Poland,2,1
2022,Round of 16,England,3,0,Senegal,3,1
2022,Round of 16,Japan,1,1,Croatia,0,0
2022,Round of 16,Brazil,4,1,Korea Republic,3,1
2022,Round of 16,Morocco,0,0,Spain,0,0
2022,Round of 16,Portugal,6,1,Switzerland,5,1
2022,Semi-final,Argentina,3,0,Croatia,3,1
2022,Semi-final,France,2,0,Morocco,2,1
