Nation,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26
Ecuador,Hernan Galindez,Felix Torres,Piero Hincapie,Robert Arboleda,Jose Cifuentes,Willian Pacho,Pervis Estupinan,Carlos Gruezo,Ayrton Preciado,Romario Ibarra,Michael Estrada,Moises Ramirez,Enner Valencia,Xavier Arreaga,Angel Mena,Jeremy Sarmiento,Angelo Preciado,Diego Palacios,Gonzalo Plata,Sebas Mendez,Alan Franco,Alexander Dominguez,Moises Caicedo,Djorkaeff Reasco,Jackson Porozo,Kevin Rodriguez
Netherlands,Remko Pasveer,Jurrien Timber,Matthijs de Ligt,Virgil van Dijk,Nathan Ake,Stefan de Vrij,Steven Bergwijn,Cody Gakpo,Luuk de Jong,Memphis Depay,Steven Berghuis,Noa Lang,Justin Bijlow,Davy Klaassen,Marten de Roon,Tyrell Malacia,Daley Blind,Vincent Janssen,Wout Weghorst,Teun Koopmeiners,Frenkie de Jong,Denzel Dumfries,Andries Noppert,Kenneth Taylor,Xavi Simons,Jeremie Frimpong
Qatar,Saad Al-Sheeb,Ro-Ro,Abdelkarim Hassan,Mohammed Waad,Tarek Salman,Abdulaziz Hatem,Ahmed Alaaeldin,Ali Assadalla,Mohammed Muntari,Hassan Al-Haydos,Akram Afif,Karim Boudiaf,Musab Kheder,Homam Ahmed,Bassam Al-Rawi,Boualem Khoukhi,Ismaeel Mohammad,Khalid Muneer,Almoez Ali,Salem Al-Hajri,Yousef Hassan,Meshaal Barsham,Assim Madibo,Naif Al-Hadhrami,Jassem Gaber,Mostafa Meshaal
Senegal,Seny Dieng,Formose Mendy,Kalidou Koulibaly?,Pape Abou Cisse,Idrissa Gueye,Nampalys Mendy,Nicolas Jackson,Cheikhou Kouyate,Boulaye Dia,Moussa N'Diaye,Pathe Ciss,Fode Ballo-Toure,Iliman Ndiaye,Ismail Jakobs,Krepin Diatta,Edouard Mendy,Pape Matar Sarr,Ismaila Sarr,Famara Diedhiou,Bamba Dieng,Youssouf Sabaly,Abdou Diallo,Alfred Gomis,Moustapha Name,Mamadou Loum,Pape Gueye
England,Jordan Pickford,Kyle Walker,Luke Shaw,Declan Rice,John Stones,Harry Maguire,Jack Grealish,Jordan Henderson,Harry Kane,Raheem Sterling,Marcus Rashford,Kieran Trippier,Nick Pope,Kalvin Phillips,Eric Dier,Conor Coady,Bukayo Saka,Trent Alexander-Arnold,Mason Mount,Phil Foden,Ben White,Jude Bellingham,Aaron Ramsdale,Callum Wilson,James Maddison,Conor Gallagher
IR Iran,Alireza Beiranvand,Sadegh Moharrami,Ehsan Hajsafi,Shojae Khalilzadeh,Milad Mohammadi,Saeid Ezatolahi,Alireza Jahanbakhsh,Morteza Pouraliganji,Mehdi Taremi,Karim Ansarifard,Vahid Amiri,Payam Niazmand,Hossein Kanaanizadegan,Saman Ghoddos,Rouzbeh Cheshmi,Mehdi Torabi,Ali Gholizadeh,Ali Karimi,Majid Hosseini,Sardar Azmoun,Ahmad Nourollahi,Amir Abedzadeh,Ramin Rezaeian,Hossein Hosseini,Abolfazl Jalali,
USA,Matt Turner,Sergino Dest,Walker Zimmerman,Tyler Adams,Antonee Robinson,Yunus Musah,Giovanni Reyna,Weston McKennie,Jesus Ferreira,Christian Pulisic,Brenden Aaronson,Ethan Horvath,Tim Ream,Luca de la Torre,Aaron Long,Jordan Morris,Cristian Roldan,Shaq Moore,Haji Wright,Cameron Carter-Vickers,Timothy Weah,DeAndre Yedlin,Kellyn Acosta,Josh Sargent,Sean Johnson,Joe Scally
Wales,Wayne Hennessey,Chris Gunter,Neco Williams,Ben Davies,Chris Mepham,Joe Rodon,Joe Allen,Harry Wilson,Brennan Johnson,Aaron Ramsey,Gareth Bale,Danny Ward,Kieffer Moore,Connor Roberts,Ethan Ampadu,Joe Morrell,Tom Lockyer,Jonny Williams,Mark Harris,Daniel James,Adam Davies,Sorba Thomas,Dylan Levitt,Ben Cabango,Rubin Colwill,Matthew Smith
Argentina,Franco Armani,Juan Foyth,Nicolas Tagliafico,Gonzalo Montiel,Leandro Paredes,German Pezzella,Rodrigo De Paul,Marcos Acuna,Julian Alvarez,Lionel Messi,Angel Di Maria,Geronimo Rulli,Cristian Romero,Exequiel Palacios,Angel Correa,Thiago Almada,Papu Gomez,Guido Rodriguez,Nicolas Otamendi,Alexis Mac Allister,Paulo Dybala,Lautaro Martinez,Emiliano Martinez,Enzo Fernandez,Lisandro Martinez,Nahuel Molina
Mexico,Alfredo Talavera,Nestor Araujo,Cesar Montes,Edson Alvarez,Johan Vasquez,Gerardo Arteaga,Luis Romo,Carlos Rodriguez,Raul Jimenez,Alexis Vega,Rogelio Funes Mori,Rodolfo Cota,Guillermo Ochoa,Erick Gutierrez,Hector Moreno,Hector Herrera,Orbelin Pineda,Andres Guardado,Jorge Sanchez,Henry Martin,Uriel Antuna,Hirving Lozano,Jesus Gallardo,Luis Chavez,Roberto Alvarado,Kevin Alvarez
Poland,Wojciech Szczesny,Matty Cash,Artur Jedrzejczyk,Mateusz Wieteska,Jan Bednarek,Krystian Bielik,Arkadiusz Milik,Damian Szymanski,Robert Lewandowski?,Grzegorz Krychowiak,Kamil Grosicki,Lukasz Skorupski,Jakub Kaminski,Jakub Kiwior,Kamil Glik,Karol Swiderski,Szymon Zurkowski,Bartosz Bereszynski,Sebastian Szymanski,Piotr Zielinski,Nicola Zalewski,Kamil Grabara,Krzysztof Piatek,Przemys?aw Frankowski,Robert Gumny,"Michal Skoras	"
Saudi Arabia,Mohammed Al-Rubaie,Sultan Al-Ghannam,Abdullah Madu,Abdulelah Al-Amri,Ali Al-Bulaihi,Mohammed Al-Breik,Salman Al-Faraj,Abdulellah Al-Malki,Firas Al-Buraikan,Salem Al-Dawsari,Saleh Al-Shehri,Saud Abdulhamid,Yasser Al-Shahrani,Abdullah Otayf,Ali Al-Hassan,Sami Al-Najei,Hassan Al-Tambakti,Nawaf Al-Abed,Hattan Bahebri,Abdulrahman Al-Aboud,Mohammed Al-Owais,Nawaf Al-Aqidi,Mohamed Kanno,Nasser Al-Dawsari,Haitham Asiri,Riyadh Sharahili
Australia,Mathew Ryan,Milos Degenek,Nathaniel Atkinson,Kye Rowles,Fran Karacic,Marco Tilio,Mathew Leckie,Bailey Wright,Jamie Maclaren,Ajdin Hrustic,Awer Mabil,Andrew Redmayne,Aaron Mooy,Riley McGree,Mitchell Duke,Aziz Behich,Cameron Devlin,Danny Vukovic,Harry Souttar,Thomas Deng,Garang Kuol,Jackson Irvine,Craig Goodwin,Joel King,Jason Cummings,Keanu Baccus
Denmark,Kasper Schmeichel,Joachim Andersen,Victor Nelsson,Simon Kjaer,Joakim Maehle,Andreas Christensen,Mathias Jensen,Thomas Delaney,Martin Braithwaite,Christian Eriksen,Andreas Skov Olsen,Kasper Dolberg,Rasmus Kristensen,Mikkel Damsgaard,Christian Norgaard,Oliver Christensen,Jens Stryger Larsen,Daniel Wass,Jonas Wind,Yussuf Poulsen,Andreas Cornelius,Frederik Ronnow,Pierre-Emile Hojbjerg,Robert Skov,Jesper Lindstrom,Alexander Bah
France,Hugo Lloris,Benjamin Pavard,Axel Disasi,Raphael Varane,Jules Kounde,Matteo Guendouzi,Antoine Griezmann,Aurelien Tchouameni,Olivier Giroud,Kylian Mbappe,Ousmane Dembele,Randal Kolo Muani,Youssouf Fofana,Adrien Rabiot,Jordan Veretout,Steve Mandanda,William Saliba,Dayot Upamecano,Karim Benzema,Kingsley Coman,Lucas Hernandez,Theo Hernandez,Alphonse Areola,Ibrahima Konate,Eduardo Camavinga,Marcus Thuram
Tunisia,Aymen Mathlouthi,Bilel Ifa,Montassar Talbi,Yassine Meriah,Nader Ghandri,Dylan Bronn,Youssef Msakni,Hannibal Mejbri,Issam Jebali,Wahbi Khazri,Taha Yassine Khenissi,Ali Maaloul,Ferjani Sassi,Aissa Laidouni,Mohamed Ali Ben Romdhane,Aymen Dahmen,Ellyes Skhiri,Ghailene Chaalali,Seifeddine Jaziri,Mohamed Drager,Wajdi Kechrida,Bechir Ben Said,Naim Sliti,Ali Abdi,Anis Ben Slimane,Mouez Hassen
Costa Rica,Keylor Navas,Daniel Chacon,Juan Pablo Vargas,Keysher Fuller,Celso Borges,Oscar Duarte,Anthony Contreras,Bryan Oviedo,Jewison Bennette,Bryan Ruiz,Johan Venegas,Joel Campbell,Gerson Torres,Youstin Salas,Francisco Calvo,Carlos Martinez,Yeltsin Tejeda,Esteban Alvarado,Kendall Waston,Brandon Aguilera,Douglas Lopez,Ronald Matarrita,Patrick Sequeira,Roan Wilson,Anthony Hernandez,Alvaro Zamora
