long_name,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
c ronaldo dos santos aveiro,94,32,185,80,5,90,93,82,90,33,80,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23,7,11,15,14,11,0
lionel messi,93,30,170,72,4,89,90,86,96,26,61,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,74,96,13,28,26,6,11,15,14,8,0
manuel neuer,92,31,193,92,1,0,0,0,0,0,0,15,13,25,55,11,30,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,91,90,95,91,89,60
luis tejada,92,30,182,86,4,82,90,79,87,42,81,77,94,77,83,88,86,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38,27,25,31,33,37,0
neymar da silva santos jr,92,25,175,68,5,92,84,79,95,30,60,75,89,62,81,83,96,81,84,75,95,94,90,96,88,82,80,61,78,53,77,56,36,90,80,81,92,21,24,33,9,9,15,15,11,0
robert lewandowski,91,28,185,79,3,81,88,75,86,38,82,62,91,85,83,87,85,77,84,65,89,79,83,78,91,80,88,84,79,84,83,80,39,91,78,81,87,25,42,19,15,6,12,8,10,0
sergio ramos garcia,90,31,183,75,3,76,63,71,71,88,83,66,60,91,78,66,61,73,67,72,84,75,77,79,85,60,79,93,84,81,55,84,88,52,63,68,80,86,89,91,11,8,9,7,11,0
gonzalo higuain,90,29,184,87,3,79,87,70,83,25,74,68,91,86,75,88,84,74,62,59,85,78,80,75,88,69,88,79,72,85,82,50,20,92,70,70,86,12,22,18,5,12,7,5,10,0
toni kroos,90,27,182,78,3,56,81,89,81,73,70,85,76,54,90,82,79,85,84,93,89,60,52,71,86,69,87,32,77,74,90,60,85,79,88,73,85,63,82,69,10,11,13,7,10,0
eden hazard,90,26,173,76,4,90,82,84,92,32,66,80,83,57,86,79,93,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22,11,12,6,8,8,0
david de gea quintana,90,26,193,76,1,0,0,0,0,0,0,17,13,21,50,13,18,21,19,51,42,57,58,60,88,43,31,67,40,64,12,38,30,12,68,40,64,13,21,13,90,85,87,86,90,58
gianluigi buffon,89,39,191,94,1,0,0,0,0,0,0,13,15,13,37,17,26,20,13,35,28,49,43,55,80,49,39,75,39,69,13,38,28,12,50,22,70,10,11,11,89,88,74,90,84,46
giorgio chiellini,89,32,187,85,2,74,46,56,59,90,85,58,33,84,59,45,58,60,31,59,57,68,78,59,82,64,78,89,68,91,49,92,88,28,50,50,82,92,92,90,3,3,2,4,3,0
sergio aguero,89,29,173,70,4,87,88,75,89,23,72,70,90,68,79,85,89,82,72,63,89,90,84,86,89,91,88,80,74,74,83,63,24,91,83,83,90,13,20,12,13,15,6,11,14,0
gareth bale,89,27,183,74,4,94,87,84,86,57,76,87,87,86,86,76,89,86,85,80,87,93,95,77,87,65,91,85,76,80,90,65,59,86,79,76,85,51,55,52,15,15,11,5,6,0
luka modric,89,31,174,65,4,73,75,86,89,72,65,78,71,55,92,74,86,79,77,83,92,75,71,93,88,94,73,67,82,58,82,62,76,79,90,80,84,66,80,73,13,9,7,14,9,0
alexis sanchez,89,28,169,62,4,86,84,80,89,40,78,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35,10,10,15,12,13,0
thibaut courtois,89,25,199,94,1,0,0,0,0,0,0,14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,85,91,69,86,88,49
kevin de bruyne,89,26,181,68,4,75,84,88,85,45,75,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,15,13,5,10,13,0
arjen robben,88,33,180,80,4,86,86,81,91,32,63,80,85,51,84,86,92,87,81,71,89,87,86,89,87,91,87,61,68,67,88,47,39,85,83,80,86,29,26,26,10,8,11,5,15,0
zlatan ibrahimovic,88,35,195,95,4,65,88,81,82,32,82,76,87,80,84,90,82,82,82,76,88,63,67,81,86,41,91,69,71,88,85,84,20,86,83,91,91,15,41,27,13,15,10,9,12,0
thiago emiliano da silva,88,32,183,79,3,72,56,73,73,89,79,60,38,82,79,63,68,61,67,81,80,70,74,74,84,68,74,93,74,81,71,77,89,59,74,71,83,90,89,88,9,12,5,9,10,0
hugo lloris,88,30,188,82,1,0,0,0,0,0,0,13,10,10,50,11,10,11,10,50,34,65,63,55,85,54,23,74,41,43,14,31,27,10,30,40,61,12,10,18,88,86,68,82,90,64
mesut ozil,88,28,180,76,4,71,74,87,86,24,58,82,74,54,89,77,86,84,79,84,90,75,68,83,87,70,70,52,69,57,76,48,24,83,92,67,78,22,16,19,6,14,10,6,14,0
mats hummels,88,28,191,92,2,64,58,75,71,89,76,64,55,89,80,60,68,65,53,85,77,62,65,64,85,58,71,68,66,85,51,66,89,56,79,68,91,85,92,90,15,6,10,5,6,0
diego godin,88,31,186,78,2,65,48,65,63,88,78,55,42,92,79,47,53,49,51,70,76,62,67,63,85,58,67,89,67,80,43,86,88,48,52,50,82,87,86,89,6,8,15,5,15,0
jerome boateng,88,28,192,90,2,75,50,72,67,88,84,69,34,85,75,53,67,56,31,80,71,72,78,58,82,53,79,75,74,91,58,82,83,47,76,46,86,88,91,90,7,12,15,6,5,0
leonardo bonucci,88,30,190,85,2,68,54,70,70,87,81,44,39,88,79,58,69,56,61,85,75,62,72,60,86,52,74,85,73,85,65,82,90,38,74,70,84,84,88,88,2,2,3,2,4,0
pierre emerick aubameyang,88,28,187,80,3,96,84,75,81,37,71,77,88,79,77,86,82,78,74,64,82,95,96,77,87,70,81,77,79,77,79,43,48,89,77,79,84,28,25,36,6,9,15,9,9,0
thiago alcantara,88,26,174,70,5,72,75,85,90,62,63,72,69,58,91,90,90,85,77,90,92,77,68,90,84,86,75,75,75,59,82,57,78,83,86,75,83,49,64,62,6,11,7,9,13,0
antoine griezmann,88,26,174,72,4,86,85,78,87,30,68,82,88,80,79,87,87,84,75,75,86,87,86,90,90,80,81,87,76,61,82,69,35,91,76,71,86,23,22,11,14,8,14,13,14,0
jan oblak,88,24,189,82,1,0,0,0,0,0,0,13,11,15,29,13,12,13,14,26,16,43,60,67,84,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,84,90,77,87,84,52
paulo dybala,88,23,177,73,4,86,85,81,91,24,67,80,85,68,83,88,92,88,84,71,93,88,84,91,84,85,82,75,83,65,88,48,24,84,84,86,84,14,20,20,5,4,4,5,8,0
andres iniesta lujan,87,33,171,68,4,71,70,87,90,58,58,77,70,54,92,74,90,80,70,86,94,72,71,79,88,84,65,52,58,58,71,58,66,84,94,71,89,57,57,56,6,13,6,13,7,0
gerard pique bernabeu,87,30,194,85,2,65,61,69,65,86,76,57,64,83,81,57,59,58,43,80,78,55,73,58,84,42,62,74,66,83,51,72,88,58,62,69,86,86,87,86,10,11,14,15,8,0
samir handanovic,87,32,193,89,1,0,0,0,0,0,0,12,10,10,36,12,18,12,14,34,24,54,57,42,83,36,22,78,41,71,19,25,22,12,41,23,62,17,10,13,87,86,69,87,87,56
david josue jimenez silva,87,31,173,67,4,68,72,87,87,38,61,83,71,54,91,79,84,82,75,79,90,72,65,92,84,89,71,66,78,56,73,51,43,81,92,73,92,25,44,29,1,1,1,1,1,0
ivan rakitic,87,29,184,78,3,65,84,86,83,60,66,81,83,58,87,80,84,88,84,92,87,67,64,72,79,66,84,44,76,63,88,67,69,80,87,78,81,52,65,53,14,11,12,5,9,0
marek hamsik,87,29,183,79,3,74,80,84,84,68,71,78,78,74,88,79,86,80,72,82,87,72,75,76,88,66,82,71,85,69,83,56,72,88,86,70,84,60,73,62,8,6,4,14,14,0
marcelo vieira da silva,87,29,174,75,4,78,69,80,85,82,79,90,67,71,82,54,84,80,67,76,88,77,79,77,87,82,83,77,81,77,66,84,83,75,75,59,85,80,85,87,12,5,5,5,9,0
edinson cavani,87,30,184,71,3,77,83,72,80,42,81,70,83,88,78,84,80,75,74,50,80,75,78,81,91,59,85,88,92,74,78,84,48,92,77,84,83,24,45,27,12,5,13,13,10,0
arturo vidal,87,30,180,75,3,75,81,80,79,83,84,76,77,81,84,78,76,76,68,82,83,76,74,75,89,77,86,82,91,77,85,93,85,80,80,81,86,76,89,85,4,2,4,2,4,0
christian eriksen,87,25,182,76,4,75,78,88,84,47,63,86,76,52,89,74,84,85,87,86,87,77,74,78,83,82,80,57,90,57,84,44,55,81,90,67,87,38,56,22,9,14,7,7,6,0
paul pogba,87,24,191,84,5,74,79,84,85,68,88,78,71,73,86,85,86,84,82,88,89,72,76,76,84,61,90,85,91,91,82,75,68,83,86,76,85,66,68,66,5,6,2,4,3,0
marco verratti,87,24,165,60,3,65,59,84,89,79,68,72,58,55,90,64,90,73,64,89,88,69,62,87,87,94,56,64,77,56,58,89,86,71,88,64,91,76,84,79,12,12,15,15,10,0
ngolo kante,87,26,168,68,3,81,66,75,79,81,84,67,65,54,84,56,77,49,49,79,79,82,80,83,87,90,72,79,94,77,66,90,91,71,76,54,84,75,89,85,15,12,10,7,10,0
petr cech,86,35,196,90,1,0,0,0,0,0,0,19,12,19,35,17,12,13,19,33,22,40,44,49,84,34,21,51,32,65,11,17,23,13,53,23,70,11,13,12,82,87,76,83,81,42
kepler laveran lima ferreira,86,34,188,81,2,68,51,57,61,86,80,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,62,84,56,94,86,40,48,57,77,86,86,87,8,15,5,9,10,0
franck ribery,86,34,170,72,5,82,76,83,90,25,58,81,76,41,86,80,90,83,81,75,90,85,79,88,86,91,76,34,64,60,75,52,36,81,86,78,86,13,25,26,15,6,9,7,10,0
francesc fabregas i soler,86,30,180,77,3,63,77,88,80,61,64,85,76,74,91,81,80,77,81,90,86,65,62,65,81,77,77,68,80,64,75,45,50,78,91,80,92,60,63,62,6,10,8,15,15,0
karim benzema,86,29,187,79,4,78,84,77,82,22,74,75,87,78,86,79,82,79,73,47,86,77,78,77,83,60,83,70,73,78,77,65,22,87,85,82,82,13,15,12,13,11,5,5,7,0
joao miranda de souza filho,86,32,186,78,2,71,49,60,67,88,77,48,43,83,70,51,65,32,39,69,72,67,74,61,82,57,70,82,65,80,41,83,88,43,58,49,84,89,90,86,12,6,10,13,12,0
sokratis papastathopoulos,86,29,186,85,2,78,52,55,60,87,84,47,44,87,64,46,58,36,35,64,58,71,84,62,81,68,79,87,74,86,48,91,80,50,52,33,82,88,90,86,6,8,5,12,5,0
dries mertens,86,30,169,61,4,90,82,79,89,36,55,77,85,35,81,70,89,81,77,74,88,93,87,94,85,92,80,60,75,42,81,59,36,85,82,78,81,30,40,40,7,10,8,10,4,0
javier martinez aginaga,86,28,190,81,2,50,60,69,65,86,80,60,53,90,75,61,62,54,45,74,71,49,50,54,84,58,76,83,64,84,63,91,86,57,74,52,83,84,87,87,5,12,9,11,8,0
radja nainggolan,86,29,176,77,3,78,80,78,82,81,83,73,76,59,84,75,80,73,68,81,85,80,76,81,87,84,84,76,94,76,86,88,86,88,76,63,85,78,86,88,11,11,14,8,11,0
